choice_code,institute_code,branch_name,course
0100219110,01002,Civil Engineering,B.E/B.Tech
0100224210,01002,Computer Science and Engineering,B.E/B.Tech
0100224610,01002,Information Technology,B.E/B.Tech
0100229310,01002,Electrical Engineering,B.E/B.Tech
0100237210,01002,Electronics and Telecommunication Engg,B.E/B.Tech
0100246610,01002,Instrumentation Engineering,B.E/B.Tech
0100261210,01002,Mechanical Engineering,B.E/B.Tech
0110519110,01105,Civil Engineering,B.E/B.Tech
0110524210,01105,Computer Science and Engineering,B.E/B.Tech
0110524610,01105,Information Technology,B.E/B.Tech
0110526310,01105,Artificial Intelligence (AI) and Data Science,B.E/B.Tech
0110526510,01105,Industrial IoT,B.E/B.Tech
0110537210,01105,Electronics and Telecommunication Engg,B.E/B.Tech
0110561210,01105,Mechanical Engineering,B.E/B.Tech
0200819110,02008,Civil Engineering,B.E/B.Tech
0200824210,02008,Computer Science and Engineering,B.E/B.Tech
0200824610,02008,Information Technology,B.E/B.Tech
0200829310,02008,Electrical Engineering,B.E/B.Tech
0200837210,02008,Electronics and Telecommunication Engg,B.E/B.Tech
0200861210,02008,Mechanical Engineering,B.E/B.Tech
0202019110,02020,Civil Engineering,B.E/B.Tech
0202024210,02020,Computer Science and Engineering,B.E/B.Tech
0202024610,02020,Information Technology,B.E/B.Tech
0202029310,02020,Electrical Engineering,B.E/B.Tech
0202037210,02020,Electronics and Telecommunication Engg,B.E/B.Tech
0202046610,02020,Instrumentation Engineering,B.E/B.Tech
0202050710,02020,Chemical Engineering,B.E/B.Tech
0202060610,02020,Production Engineering,B.E/B.Tech
0202061210,02020,Mechanical Engineering,B.E/B.Tech
0202089610,02020,Textile Technology,B.E/B.Tech
0203290410,02032,Chemical Engineering,B.E/B.Tech
0211301110,02113,Agricultural Engineering,B.E/B.Tech
0211319110,02113,Civil Engineering,B.E/B.Tech
0211324210,02113,Computer Science and Engineering,B.E/B.Tech
0211325710,02113,Computer Science and Design,B.E/B.Tech
0211326310,02113,Artificial Intelligence (AI) and Data Science,B.E/B.Tech
0211329310,02113,Electrical Engineering,B.E/B.Tech
0211350110,02113,Plastic and Polymer Engineering,B.E/B.Tech
0211361210,02113,Mechanical Engineering,B.E/B.Tech
0211384410,02113,Electronics and Computer Engineering,B.E/B.Tech
0301219110,03012,Civil Engineering,B.E/B.Tech
0301224510,03012,Computer Engineering,B.E/B.Tech
0301224610,03012,Information Technology,B.E/B.Tech
0301229310,03012,Electrical Engineering,B.E/B.Tech
0301237210,03012,Electronics and Telecommunication Engg,B.E/B.Tech
0301237610,03012,Electronics Engineering,B.E/B.Tech
0301261210,03012,Mechanical Engineering,B.E/B.Tech
0301262610,03012,Production Engineering[Sandwich],B.E/B.Tech
0301289610,03012,Textile Technology,B.E/B.Tech
0301419110,03014,Civil Engineering,B.E/B.Tech
