institute_code,institute_name,university,status_type
01002,"Government College of Engineering, Amravati",Maharashtra State,Approved Institute
01005,"Sant Gadge Baba Amravati University,Amravati",Maharashtra State,Approved Institute
01012,"Government College of Engineering,Yavatmal",Maharashtra State,Approved Institute
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Maharashtra State,Approved Institute
01102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",Maharashtra State,Approved Institute
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Maharashtra State,Approved Institute
01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Maharashtra State,Approved Institute
01111,"P.G. Department of Computer Science & Technology, D.C.P.E., H.V.P. Mandal, Amravati",Maharashtra State,Approved Institute
01113,"Sadhana Shikshan Mandal, Saraswati College, Shegaon",Maharashtra State,Approved Institute
01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Maharashtra State,Approved Institute
01116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Maharashtra State,Approved Institute
01117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Maharashtra State,Approved Institute
01119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,Maharashtra State,Approved Institute
01120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Maharashtra State,Approved Institute
01121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Maharashtra State,Approved Institute
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Maharashtra State,Approved Institute
01125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Maharashtra State,Approved Institute
01126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Maharashtra State,Approved Institute
01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Maharashtra State,Approved Institute
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",Maharashtra State,Approved Institute
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Maharashtra State,Approved Institute
01180,"Sanmati Engineering College, Sawargaon Barde, Washim",Maharashtra State,Approved Institute
01182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Maharashtra State,Approved Institute
01265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Maharashtra State,Approved Institute
01268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Maharashtra State,Approved Institute
01276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Maharashtra State,Approved Institute
01314,SMT RADHADEVI GOENKA COLLEGE FOR WOMEN,Maharashtra State,Approved Institute
02001,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",Maharashtra State,Approved Institute
02005,"Dr. Babasaheb Ambedkar Marathwada Vidyapeeth,(Aurangabad) Sub Section - Osmanabad",Maharashtra State,Approved Institute
02007,"Swami Ramanand Teerth Marathwada Vidyapeeth, Nanded",Maharashtra State,Approved Institute
02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Maharashtra State,Approved Institute
02015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR",Maharashtra State,Approved Institute
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Maharashtra State,Approved Institute
02021,"University Department of Chemical Technology, Aurangabad",Maharashtra State,Approved Institute
02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Maharashtra State,Approved Institute
02102,"Rajarshi Shahu Institute of Management, Aurangabad",Maharashtra State,Approved Institute
02111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Maharashtra State,Approved Institute
02112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Maharashtra State,Approved Institute
02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Maharashtra State,Approved Institute
