choice_code,institute_code,branch_name,course
0100310010,01003,Pharm D ( Doctor of Pharmacy),Pharmacy
0100382310,01003,Pharmacy,Pharmacy
0111582310,01115,Pharmacy,Pharmacy
0113182310,01131,Pharmacy,Pharmacy
0113382310,01133,Pharmacy,Pharmacy
0113482310,01134,Pharmacy,Pharmacy
0113582310,01135,Pharmacy,Pharmacy
0113682310,01136,Pharmacy,Pharmacy
0115782310,01157,Pharmacy,Pharmacy
0115882310,01158,Pharmacy,Pharmacy
0115982310,01159,Pharmacy,Pharmacy
0116082310,01160,Pharmacy,Pharmacy
0116182310,01161,Pharmacy,Pharmacy
0116482310,01164,Pharmacy,Pharmacy
0117182310,01171,Pharmacy,Pharmacy
0126482310,01264,Pharmacy,Pharmacy
0127082310,01270,Pharmacy,Pharmacy
0127182310,01271,Pharmacy,Pharmacy
0128082310,01280,Pharmacy,Pharmacy
0128182310,01281,Pharmacy,Pharmacy
0128282310,01282,Pharmacy,Pharmacy
0128382310,01283,Pharmacy,Pharmacy
0128482310,01284,Pharmacy,Pharmacy
0128582310,01285,Pharmacy,Pharmacy
0128682310,01286,Pharmacy,Pharmacy
0129082310,01290,Pharmacy,Pharmacy
0129182310,01291,Pharmacy,Pharmacy
0129282310,01292,Pharmacy,Pharmacy
0129382310,01293,Pharmacy,Pharmacy
0129482310,01294,Pharmacy,Pharmacy
0129582310,01295,Pharmacy,Pharmacy
0129682310,01296,Pharmacy,Pharmacy
0129782310,01297,Pharmacy,Pharmacy
0129982310,01299,Pharmacy,Pharmacy
0130182310,01301,Pharmacy,Pharmacy
0130382310,01303,Pharmacy,Pharmacy
0130482310,01304,Pharmacy,Pharmacy
0130582310,01305,Pharmacy,Pharmacy
0130682310,01306,Pharmacy,Pharmacy
0134382310,01343,Pharmacy,Pharmacy
0200910010,02009,Pharm D ( Doctor of Pharmacy),Pharmacy
0200982310,02009,Pharmacy,Pharmacy
0202982310,02029,Pharmacy,Pharmacy
0211882310,02118,Pharmacy,Pharmacy
0213082310,02130,Pharmacy,Pharmacy
0214782310,02147,Pharmacy,Pharmacy
0214882310,02148,Pharmacy,Pharmacy
0214982310,02149,Pharmacy,Pharmacy
0215110010,02151,Pharm D ( Doctor of Pharmacy),Pharmacy
0215182310,02151,Pharmacy,Pharmacy
0215210010,02152,Pharm D ( Doctor of Pharmacy),Pharmacy
0215282310,02152,Pharmacy,Pharmacy
0215382310,02153,Pharmacy,Pharmacy
0215482310,02154,Pharmacy,Pharmacy
0215682310,02156,Pharmacy,Pharmacy
0215710010,02157,Pharm D ( Doctor of Pharmacy),Pharmacy
0215782310,02157,Pharmacy,Pharmacy
0215882310,02158,Pharmacy,Pharmacy
0220182310,02201,Pharmacy,Pharmacy
0220282310,02202,Pharmacy,Pharmacy
0221982310,02219,Pharmacy,Pharmacy
0222082310,02220,Pharmacy,Pharmacy
0222382310,02223,Pharmacy,Pharmacy
0225182310,02251,Pharmacy,Pharmacy
0225310010,02253,Pharm D ( Doctor of Pharmacy),Pharmacy
0225382310,02253,Pharmacy,Pharmacy
0225482310,02254,Pharmacy,Pharmacy
0251410010,02514,Pharm D ( Doctor of Pharmacy),Pharmacy
0251482310,02514,Pharmacy,Pharmacy
0253882310,02538,Pharmacy,Pharmacy
0253982310,02539,Pharmacy,Pharmacy
0254182310,02541,Pharmacy,Pharmacy
0254282310,02542,Pharmacy,Pharmacy
0254310010,02543,Pharm D ( Doctor of Pharmacy),Pharmacy
0254382310,02543,Pharmacy,Pharmacy
0254582310,02545,Pharmacy,Pharmacy
0254782310,02547,Pharmacy,Pharmacy
0254882310,02548,Pharmacy,Pharmacy
0255082310,02550,Pharmacy,Pharmacy
0255382310,02553,Pharmacy,Pharmacy
0255482310,02554,Pharmacy,Pharmacy
0255582310,02555,Pharmacy,Pharmacy
0255682310,02556,Pharmacy,Pharmacy
0255982310,02559,Pharmacy,Pharmacy
0256082310,02560,Pharmacy,Pharmacy
0256182310,02561,Pharmacy,Pharmacy
0256382310,02563,Pharmacy,Pharmacy
0256482310,02564,Pharmacy,Pharmacy
0256582310,02565,Pharmacy,Pharmacy
0256782310,02567,Pharmacy,Pharmacy
0257282310,02572,Pharmacy,Pharmacy
0257482310,02574,Pharmacy,Pharmacy
0257582310,02575,Pharmacy,Pharmacy
0257682310,02576,Pharmacy,Pharmacy
0257782310,02577,Pharmacy,Pharmacy
0257882310,02578,Pharmacy,Pharmacy
0257982310,02579,Pharmacy,Pharmacy
0258082310,02580,Pharmacy,Pharmacy
0258182310,02581,Pharmacy,Pharmacy
0258382310,02583,Pharmacy,Pharmacy
0258482310,02584,Pharmacy,Pharmacy
0258582310,02585,Pharmacy,Pharmacy
0258682310,02586,Pharmacy,Pharmacy
0258782310,02587,Pharmacy,Pharmacy
0258882310,02588,Pharmacy,Pharmacy
0258982310,02589,Pharmacy,Pharmacy
0259082310,02590,Pharmacy,Pharmacy
0259182310,02591,Pharmacy,Pharmacy
0259282310,02592,Pharmacy,Pharmacy
0259482310,02594,Pharmacy,Pharmacy
0259682310,02596,Pharmacy,Pharmacy
0259782310,02597,Pharmacy,Pharmacy
0260182310,02601,Pharmacy,Pharmacy
0260382310,02603,Pharmacy,Pharmacy
0260482310,02604,Pharmacy,Pharmacy
0260582310,02605,Pharmacy,Pharmacy
0260882310,02608,Pharmacy,Pharmacy
0260982310,02609,Pharmacy,Pharmacy
0261082310,02610,Pharmacy,Pharmacy
0261282310,02612,Pharmacy,Pharmacy
0261382310,02613,Pharmacy,Pharmacy
0261482310,02614,Pharmacy,Pharmacy
0261682310,02616,Pharmacy,Pharmacy
0261782310,02617,Pharmacy,Pharmacy
0261882310,02618,Pharmacy,Pharmacy
0261982310,02619,Pharmacy,Pharmacy
0262082310,02620,Pharmacy,Pharmacy
0262682310,02626,Pharmacy,Pharmacy
0262782310,02627,Pharmacy,Pharmacy
0262882310,02628,Pharmacy,Pharmacy
0262982310,02629,Pharmacy,Pharmacy
0263082310,02630,Pharmacy,Pharmacy
0263982310,02639,Pharmacy,Pharmacy
0264082310,02640,Pharmacy,Pharmacy
0264582310,02645,Pharmacy,Pharmacy
0264782310,02647,Pharmacy,Pharmacy
0265382310,02653,Pharmacy,Pharmacy
0265582310,02655,Pharmacy,Pharmacy
0265682310,02656,Pharmacy,Pharmacy
0266182310,02661,Pharmacy,Pharmacy
0276182310,02761,Pharmacy,Pharmacy
0276382310,02763,Pharmacy,Pharmacy
0276482310,02764,Pharmacy,Pharmacy
0279782310,02797,Pharmacy,Pharmacy
0300582310,03005,Pharmacy,Pharmacy
0301582310,03015,Pharmacy,Pharmacy
0301682310,03016,Pharmacy,Pharmacy
0303682310,03036,Pharmacy,Pharmacy
0316382310,03163,Pharmacy,Pharmacy
0320582310,03205,Pharmacy,Pharmacy
0322582310,03225,Pharmacy,Pharmacy
0322682310,03226,Pharmacy,Pharmacy
0322882310,03228,Pharmacy,Pharmacy
0322982310,03229,Pharmacy,Pharmacy
0323082310,03230,Pharmacy,Pharmacy
0323182310,03231,Pharmacy,Pharmacy
0323282310,03232,Pharmacy,Pharmacy
0323382310,03233,Pharmacy,Pharmacy
0323482310,03234,Pharmacy,Pharmacy
0323582310,03235,Pharmacy,Pharmacy
0323682310,03236,Pharmacy,Pharmacy
0323782310,03237,Pharmacy,Pharmacy
0323882310,03238,Pharmacy,Pharmacy
0323982310,03239,Pharmacy,Pharmacy
0324082310,03240,Pharmacy,Pharmacy
0324182310,03241,Pharmacy,Pharmacy
0324282310,03242,Pharmacy,Pharmacy
0343982310,03439,Pharmacy,Pharmacy
0346482310,03464,Pharmacy,Pharmacy
0348082310,03480,Pharmacy,Pharmacy
0348582310,03485,Pharmacy,Pharmacy
0348682310,03486,Pharmacy,Pharmacy
0348782310,03487,Pharmacy,Pharmacy
0349082310,03490,Pharmacy,Pharmacy
0349282310,03492,Pharmacy,Pharmacy
0349982310,03499,Pharmacy,Pharmacy
0350182310,03501,Pharmacy,Pharmacy
0350482310,03504,Pharmacy,Pharmacy
0350682310,03506,Pharmacy,Pharmacy
0350882310,03508,Pharmacy,Pharmacy
0350982310,03509,Pharmacy,Pharmacy
0351082310,03510,Pharmacy,Pharmacy
0353182310,03531,Pharmacy,Pharmacy
0353282310,03532,Pharmacy,Pharmacy
0353382310,03533,Pharmacy,Pharmacy
0353682310,03536,Pharmacy,Pharmacy
0353782310,03537,Pharmacy,Pharmacy
0354182310,03541,Pharmacy,Pharmacy
0354282310,03542,Pharmacy,Pharmacy
0354382310,03543,Pharmacy,Pharmacy
0354582310,03545,Pharmacy,Pharmacy
0371082310,03710,Pharmacy,Pharmacy
0371182310,03711,Pharmacy,Pharmacy
0371282310,03712,Pharmacy,Pharmacy
0371482310,03714,Pharmacy,Pharmacy
0371582310,03715,Pharmacy,Pharmacy
