academic_year,course,cap_round,institute_code,choice_code,sanctioned_intake,ms_seats,ai_seats,minority_seats,ews_seats,tfws_seats
2023-24,B.E/B.Tech,Round I,01002,0100219110,60,60,,,,
2023-24,B.E/B.Tech,Round I,01002,0100224210,60,60,,,,
2023-24,B.E/B.Tech,Round I,01002,0100224610,60,60,,,,
2023-24,B.E/B.Tech,Round I,01002,0100229310,60,60,,,,
2023-24,B.E/B.Tech,Round I,01002,0100237210,60,60,,,,
2023-24,B.E/B.Tech,Round I,01002,0100246610,30,30,,,,
2023-24,B.E/B.Tech,Round I,01002,0100261210,60,60,,,,
2023-24,B.E/B.Tech,Round I,01105,0110519110,120,99,,,,
2023-24,B.E/B.Tech,Round I,01105,0110524210,180,117,,,,
2023-24,B.E/B.Tech,Round I,01105,0110524610,120,78,,,,
2023-24,B.E/B.Tech,Round I,01105,0110526310,60,39,,,,
2023-24,B.E/B.Tech,Round I,01105,0110526510,60,39,,,,
2023-24,B.E/B.Tech,Round I,01105,0110537210,120,78,,,,
2023-24,B.E/B.Tech,Round I,01105,0110561210,120,102,,,,
2023-24,B.E/B.Tech,Round I,02008,0200819110,60,60,,,,
2023-24,B.E/B.Tech,Round I,02008,0200824210,60,60,,,,
2023-24,B.E/B.Tech,Round I,02008,0200824610,60,60,,,,
2023-24,B.E/B.Tech,Round I,02008,0200829310,60,60,,,,
2023-24,B.E/B.Tech,Round I,02008,0200837210,60,60,,,,
2023-24,B.E/B.Tech,Round I,02008,0200861210,60,60,,,,
2023-24,B.E/B.Tech,Round I,02020,0202019110,60,58,,,,
2023-24,B.E/B.Tech,Round I,02020,0202024210,120,118,,,,
2023-24,B.E/B.Tech,Round I,02020,0202024610,60,58,,,,
2023-24,B.E/B.Tech,Round I,02020,0202029310,30,28,,,,
2023-24,B.E/B.Tech,Round I,02020,0202037210,120,118,,,,
2023-24,B.E/B.Tech,Round I,02020,0202046610,40,38,,,,
2023-24,B.E/B.Tech,Round I,02020,0202050710,30,28,,,,
2023-24,B.E/B.Tech,Round I,02020,0202060610,60,58,,,,
2023-24,B.E/B.Tech,Round I,02020,0202061210,60,58,,,,
2023-24,B.E/B.Tech,Round I,02020,0202089610,30,28,,,,
2023-24,B.E/B.Tech,Round I,02032,0203290410,60,42,,,,
2023-24,B.E/B.Tech,Round I,02113,0211301110,30,25,,,,
2023-24,B.E/B.Tech,Round I,02113,0211319110,180,153,,,,
2023-24,B.E/B.Tech,Round I,02113,0211324210,240,156,,,,
2023-24,B.E/B.Tech,Round I,02113,0211325710,120,102,,,,
2023-24,B.E/B.Tech,Round I,02113,0211326310,120,78,,,,
2023-24,B.E/B.Tech,Round I,02113,0211329310,120,102,,,,
2023-24,B.E/B.Tech,Round I,02113,0211350110,60,51,,,,
2023-24,B.E/B.Tech,Round I,02113,0211361210,120,102,,,,
2023-24,B.E/B.Tech,Round I,02113,0211384410,120,102,,,,
2023-24,B.E/B.Tech,Round I,03012,0301219110,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301224510,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301224610,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301229310,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301237210,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301237610,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301261210,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301262610,60,60,,,,
2023-24,B.E/B.Tech,Round I,03012,0301289610,60,60,,,,
2023-24,B.E/B.Tech,Round I,03014,0301419110,60,60,,,,
2023-24,B.E/B.Tech,Round I,03014,0301429310,60,60,,,,
2023-24,B.E/B.Tech,Round I,03014,0301461210,60,60,,,,
2023-24,B.E/B.Tech,Round I,03036,0303650710,75,52,,,,
2023-24,B.E/B.Tech,Round I,03036,0303651110,18,13,,,,
2023-24,B.E/B.Tech,Round I,03036,0303651210,16,11,,,,
2023-24,B.E/B.Tech,Round I,03036,0303651310,18,13,,,,
2023-24,B.E/B.Tech,Round I,03036,0303651410,34,24,,,,
2023-24,B.E/B.Tech,Round I,03036,0303651910,16,11,,,,
2023-24,B.E/B.Tech,Round I,03036,0303653410,16,11,,,,
2023-24,B.E/B.Tech,Round I,03036,0303672910,16,11,,,,
2023-24,B.E/B.Tech,Round I,03139,0313924510,180,117,,,,
2023-24,B.E/B.Tech,Round I,03139,0313924610,180,117,,,,
2023-24,B.E/B.Tech,Round I,03139,0313937210,120,78,,,,
2023-24,B.E/B.Tech,Round I,03139,0313946110,60,39,,,,
2023-24,B.E/B.Tech,Round I,03139,0313990010,120,78,,,,
2023-24,B.E/B.Tech,Round I,03176,0317625310,30,8,,,,
2023-24,B.E/B.Tech,Round I,03176,0317692110,60,14,,,,
2023-24,B.E/B.Tech,Round I,03176,0317699510,120,30,,,,
2023-24,B.E/B.Tech,Round I,03176,0317619110,60,14,,,,
2023-24,B.E/B.Tech,Round I,03176,0317624510,180,44,,,,
2023-24,B.E/B.Tech,Round I,03176,0317624610,180,44,,,,
2023-24,B.E/B.Tech,Round I,03176,0317625910,60,14,,,,
2023-24,B.E/B.Tech,Round I,03176,0317637210,120,30,,,,
2023-24,B.E/B.Tech,Round I,03176,0317661210,60,14,,,,
2023-24,B.E/B.Tech,Round I,03176,0317690010,60,14,,,,
